position,title,year,duration,age_rating,imdb_rating,votes,metascore,plot,href,cover,cover_alt
11265, Double Tuckerr,No Year,No Duration,No Age Rating,"5,1"," (1,2 mil)",No Metascore,"Aravind has been gifted with two angels in his life ever since his birth. However, his life dramatically changes forever when one of the angels commits an error that accidentally costs him his life, resulting in his untimely demise.",https://www.imdb.com//title/tt31182838/?ref_=sr_t_11265,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYjM0ZmYyYjEtZmQ1Ny00OGQ0LWExY2QtZGUwMjgzMDkzMTJjXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYjM0ZmYyYjEtZmQ1Ny00OGQ0LWExY2QtZGUwMjgzMDkzMTJjXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYjM0ZmYyYjEtZmQ1Ny00OGQ0LWExY2QtZGUwMjgzMDkzMTJjXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYjM0ZmYyYjEtZmQ1Ny00OGQ0LWExY2QtZGUwMjgzMDkzMTJjXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
11266, Rudhran,No Year,No Duration,No Age Rating,"5,1", (1 mil),No Metascore,"Rudhran is a happy IT man living with his family until the moment his life is turned upside down. He comes upon a major criminal network including a businessman, Rudhran embarks on a mission to expose him the criminal network.",https://www.imdb.com//title/tt15303192/?ref_=sr_t_11266,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BY2FiYjg3MzItZjViYS00Njg1LWIwNTktZDg1MjY0YTA2OGVlXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BY2FiYjg3MzItZjViYS00Njg1LWIwNTktZDg1MjY0YTA2OGVlXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BY2FiYjg3MzItZjViYS00Njg1LWIwNTktZDg1MjY0YTA2OGVlXkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BY2FiYjg3MzItZjViYS00Njg1LWIwNTktZDg1MjY0YTA2OGVlXkEyXkFqcGc@._V1_QL75_UY414_CR15,0,280,414_.jpg 280w"
11267, Pandian,No Year,No Duration,No Age Rating,"5,1", (277),No Metascore,"Pandiyan is a police officer whose sister's husband goes missing. In order to find him and catch the culprits, he goes undercover.",https://www.imdb.com//title/tt0318540/?ref_=sr_t_11267,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMDdiMjE0ODktZTE2NC00MWI3LTlmM2MtN2VkNjA3ZThmMTNmXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMDdiMjE0ODktZTE2NC00MWI3LTlmM2MtN2VkNjA3ZThmMTNmXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMDdiMjE0ODktZTE2NC00MWI3LTlmM2MtN2VkNjA3ZThmMTNmXkEyXkFqcGc@._V1_QL75_UY311_CR9,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMDdiMjE0ODktZTE2NC00MWI3LTlmM2MtN2VkNjA3ZThmMTNmXkEyXkFqcGc@._V1_QL75_UY414_CR12,0,280,414_.jpg 280w"
11268, Thoppil Joppan,No Year,No Duration,No Age Rating,"5,1"," (2,2 mil)",No Metascore,"Joppan's failed romance excuses him to be an alcoholic. Hoping to start a new life, he seeks out for some love but would fate favor him this time?",https://www.imdb.com//title/tt5821424/?ref_=sr_t_11268,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMmZkMDU1NWUtMTgyNy00YzhmLWFkNjQtNzBmM2YwNjZjNjIxXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMmZkMDU1NWUtMTgyNy00YzhmLWFkNjQtNzBmM2YwNjZjNjIxXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMmZkMDU1NWUtMTgyNy00YzhmLWFkNjQtNzBmM2YwNjZjNjIxXkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMmZkMDU1NWUtMTgyNy00YzhmLWFkNjQtNzBmM2YwNjZjNjIxXkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
11269, This Is Our Time,No Year,No Duration,No Age Rating,"5,1", (473),No Metascore,"After graduation, five friends set out to make a difference in the world for God. Their ambitions are high and their passions are strong, but will they have the courage to fulfill their calling no matter what comes their way? The sacrifice they are asked to pay may just be too high. Through Godly council from an outside source, the group realizes that this is not their time after all, it's all His.",https://www.imdb.com//title/tt2409634/?ref_=sr_t_11269,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMjMyYzcxOTktNzZjZC00MmNmLTgxZTAtZWZiYmE1MzUzMzA5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMjMyYzcxOTktNzZjZC00MmNmLTgxZTAtZWZiYmE1MzUzMzA5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMjMyYzcxOTktNzZjZC00MmNmLTgxZTAtZWZiYmE1MzUzMzA5XkEyXkFqcGc@._V1_QL75_UY311_CR2,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMjMyYzcxOTktNzZjZC00MmNmLTgxZTAtZWZiYmE1MzUzMzA5XkEyXkFqcGc@._V1_QL75_UY414_CR4,0,280,414_.jpg 280w"
11270, Tempt Raja,No Year,No Duration,No Age Rating,"5,1"," (1,6 mil)",No Metascore,No Plot,https://www.imdb.com//title/tt14237398/?ref_=sr_t_11270,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWVmYmYwMjMtNmEwNy00YWI1LTk4MGQtNTVmY2Q0ZTFjMDJiXkEyXkFqcGc@._V1_QL75_UX140_CR0,36,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWVmYmYwMjMtNmEwNy00YWI1LTk4MGQtNTVmY2Q0ZTFjMDJiXkEyXkFqcGc@._V1_QL75_UX140_CR0,36,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWVmYmYwMjMtNmEwNy00YWI1LTk4MGQtNTVmY2Q0ZTFjMDJiXkEyXkFqcGc@._V1_QL75_UX210_CR0,55,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWVmYmYwMjMtNmEwNy00YWI1LTk4MGQtNTVmY2Q0ZTFjMDJiXkEyXkFqcGc@._V1_QL75_UX280_CR0,73,280,414_.jpg 280w"
11271, Thanthonni,No Year,No Duration,No Age Rating,"5,1", (486),No Metascore,Vadakkanveettil kochu kunju is neglected by his family members due to life style and attitude. All others are in high profile.The family has huge wealth but really kochukunju is not a person as he seems.,https://www.imdb.com//title/tt1722459/?ref_=sr_t_11271,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMTRjOTdkYjEtZWEwNC00MWVkLWI1YjYtZGZiODUwNTlkMjZiXkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMTRjOTdkYjEtZWEwNC00MWVkLWI1YjYtZGZiODUwNTlkMjZiXkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTRjOTdkYjEtZWEwNC00MWVkLWI1YjYtZGZiODUwNTlkMjZiXkEyXkFqcGc@._V1_QL75_UX210_CR0,10,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTRjOTdkYjEtZWEwNC00MWVkLWI1YjYtZGZiODUwNTlkMjZiXkEyXkFqcGc@._V1_QL75_UX280_CR0,13,280,414_.jpg 280w"
11272, Kanthaswamy,No Year,No Duration,No Age Rating,"5,1"," (2,1 mil)",No Metascore,"A CBI officer moonlights as a modern day Robin Hood in the guise of the masked Kanthaswamy, as he helps fight corruption and aid impoverished people.",https://www.imdb.com//title/tt1537032/?ref_=sr_t_11272,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzEzNDY5NmQtOWU4NC00YjdjLTg1ZmMtYzkxNjA4MmMzZTlmXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzEzNDY5NmQtOWU4NC00YjdjLTg1ZmMtYzkxNjA4MmMzZTlmXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzEzNDY5NmQtOWU4NC00YjdjLTg1ZmMtYzkxNjA4MmMzZTlmXkEyXkFqcGc@._V1_QL75_UY311_CR10,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzEzNDY5NmQtOWU4NC00YjdjLTg1ZmMtYzkxNjA4MmMzZTlmXkEyXkFqcGc@._V1_QL75_UY414_CR13,0,280,414_.jpg 280w"
11273, Udanpirappe,No Year,No Duration,No Age Rating,"5,1", (962),No Metascore,A woman hopes for the reunion of two families caught in the ideological battle between her righteous but hot headed brother and her law abiding husband.,https://www.imdb.com//title/tt15175418/?ref_=sr_t_11273,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjA4YzYzMGMtMDUyZi00MTBlLWFjY2UtNmY4ZjBiNDBmNTRhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjA4YzYzMGMtMDUyZi00MTBlLWFjY2UtNmY4ZjBiNDBmNTRhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjA4YzYzMGMtMDUyZi00MTBlLWFjY2UtNmY4ZjBiNDBmNTRhXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjA4YzYzMGMtMDUyZi00MTBlLWFjY2UtNmY4ZjBiNDBmNTRhXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
11274, Nazrana,No Year,No Duration,No Age Rating,"5,1", (127),No Metascore,"Rajat and Mukta meet each other and fall in love. They get married and live in harmony for a few years. Then Mukta starts suspecting that Rajat is having an affair with Sheetal Puri, and then misunderstandings and distrust start, and snowball. Finally, they decide to separate and go their own ways. After their separation, Mukta finds out that she is pregnant, and would like Rajat to see his child, and hopes for a reconciliation. It is then she meets Sheetal, who tells her in no uncertain terms, that Rajat and she belong together, and Rajat has no intention of coming back to Mukta.",https://www.imdb.com//title/tt0093604/?ref_=sr_t_11274,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYWM1MGFhY2UtZDdhYS00MmUxLTk5OGItNDk3ZDNhNGQxYTU4XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYWM1MGFhY2UtZDdhYS00MmUxLTk5OGItNDk3ZDNhNGQxYTU4XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYWM1MGFhY2UtZDdhYS00MmUxLTk5OGItNDk3ZDNhNGQxYTU4XkEyXkFqcGc@._V1_QL75_UY311_CR10,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYWM1MGFhY2UtZDdhYS00MmUxLTk5OGItNDk3ZDNhNGQxYTU4XkEyXkFqcGc@._V1_QL75_UY414_CR14,0,280,414_.jpg 280w"
11275, Bad Manners,No Year,No Duration,No Age Rating,"5,1", (580),No Metascore,"After his father's death, Rudra is given a job in the police force as compensation for his family's debt. When Rudra loses his service gun at a crime scene, he's given an ultimatum to find it or face suspension.",https://www.imdb.com//title/tt15137030/?ref_=sr_t_11275,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOGVkZTA1NDQtNjdkZC00NWMxLTg3YWEtMWNlZWI3Mzg4ZDg3XkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOGVkZTA1NDQtNjdkZC00NWMxLTg3YWEtMWNlZWI3Mzg4ZDg3XkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOGVkZTA1NDQtNjdkZC00NWMxLTg3YWEtMWNlZWI3Mzg4ZDg3XkEyXkFqcGc@._V1_QL75_UY311_CR14,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOGVkZTA1NDQtNjdkZC00NWMxLTg3YWEtMWNlZWI3Mzg4ZDg3XkEyXkFqcGc@._V1_QL75_UY414_CR18,0,280,414_.jpg 280w"
11276, Mariyam Vannu Vilakkoothi,No Year,No Duration,No Age Rating,"5,1", (273),No Metascore,"Three friends, all the way from their school days and are still together, working in the same company. The problems start when the trio decided to celebrate their colleague's birthday at the place where he stays as a paying guest.",https://www.imdb.com//title/tt9261828/?ref_=sr_t_11276,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYmZiNDRkOGMtMjMxZi00NDNjLTk3OWItODAwNTUxNjAzMzdlXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYmZiNDRkOGMtMjMxZi00NDNjLTk3OWItODAwNTUxNjAzMzdlXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYmZiNDRkOGMtMjMxZi00NDNjLTk3OWItODAwNTUxNjAzMzdlXkEyXkFqcGc@._V1_QL75_UY311_CR1,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYmZiNDRkOGMtMjMxZi00NDNjLTk3OWItODAwNTUxNjAzMzdlXkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg 280w"
11277, Power,No Year,No Duration,No Age Rating,"5,1", (267),No Metascore,Being a policeman's doppelganger is a mixed blessing in this action-packed caper.,https://www.imdb.com//title/tt6163150/?ref_=sr_t_11277,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYmMwZDE3M2UtM2YxZS00YTRhLTgwM2ItYjMyYzYwZTI3Mzk3XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYmMwZDE3M2UtM2YxZS00YTRhLTgwM2ItYjMyYzYwZTI3Mzk3XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYmMwZDE3M2UtM2YxZS00YTRhLTgwM2ItYjMyYzYwZTI3Mzk3XkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYmMwZDE3M2UtM2YxZS00YTRhLTgwM2ItYjMyYzYwZTI3Mzk3XkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
11278, Anari No,No Year,No Duration,No Age Rating,"5,1", (771),No Metascore,A waiter and his girlfriend devise a plan to kidnap a rich man who is his look-alike. But things go awry when they get trapped in their own plan.,https://www.imdb.com//title/tt0200435/?ref_=sr_t_11278,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzQ2MWI2ZjItMWI5Mi00NjI2LWExYzYtNmMxYjA1Y2ExNTQ0XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzQ2MWI2ZjItMWI5Mi00NjI2LWExYzYtNmMxYjA1Y2ExNTQ0XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzQ2MWI2ZjItMWI5Mi00NjI2LWExYzYtNmMxYjA1Y2ExNTQ0XkEyXkFqcGc@._V1_QL75_UY311_CR9,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzQ2MWI2ZjItMWI5Mi00NjI2LWExYzYtNmMxYjA1Y2ExNTQ0XkEyXkFqcGc@._V1_QL75_UY414_CR13,0,280,414_.jpg 280w"
11279, Semma Botha Aagatha,No Year,No Duration,No Age Rating,"5,1", (312),No Metascore,"Ramesh wakes up with a hangover and remembers that he called a female escort to help get over his ex-girlfriend. However, things get complicated after the escort mysteriously dies.",https://www.imdb.com//title/tt7482302/?ref_=sr_t_11279,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZWEzMTQ3NmEtMTA1ZC00ZjZmLWFmNWYtMzJjNGViYWY3OTRlXkEyXkFqcGc@._V1_QL75_UY207_CR15,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZWEzMTQ3NmEtMTA1ZC00ZjZmLWFmNWYtMzJjNGViYWY3OTRlXkEyXkFqcGc@._V1_QL75_UY207_CR15,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZWEzMTQ3NmEtMTA1ZC00ZjZmLWFmNWYtMzJjNGViYWY3OTRlXkEyXkFqcGc@._V1_QL75_UY311_CR22,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZWEzMTQ3NmEtMTA1ZC00ZjZmLWFmNWYtMzJjNGViYWY3OTRlXkEyXkFqcGc@._V1_QL75_UY414_CR29,0,280,414_.jpg 280w"
11280, Tera Mera Saath Rahen,No Year,No Duration,No Age Rating,"5,1", (371),No Metascore,"A man is torn between his handicapped brother and his ladylove, where he finds difficult whom to choose.",https://www.imdb.com//title/tt0301250/?ref_=sr_t_11280,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMTc3MDQyMjYwOV5BMl5BanBnXkFtZTcwMTkxNDE0MQ@@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMTc3MDQyMjYwOV5BMl5BanBnXkFtZTcwMTkxNDE0MQ@@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTc3MDQyMjYwOV5BMl5BanBnXkFtZTcwMTkxNDE0MQ@@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTc3MDQyMjYwOV5BMl5BanBnXkFtZTcwMTkxNDE0MQ@@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
11281, Savaari,No Year,No Duration,No Age Rating,"5,1", (146),No Metascore,"Raju who rents his Badshah for weddings, meets Baagi who has been in quench of real love after her step-parents try to get her married against her wish. How did she escape that marriage is the crux of the story.",https://www.imdb.com//title/tt11024568/?ref_=sr_t_11281,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZTY0NjA5MzYtNjY3ZC00Nzc4LWJhOTktZTljYjBlZjMzNWUxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZTY0NjA5MzYtNjY3ZC00Nzc4LWJhOTktZTljYjBlZjMzNWUxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZTY0NjA5MzYtNjY3ZC00Nzc4LWJhOTktZTljYjBlZjMzNWUxXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZTY0NjA5MzYtNjY3ZC00Nzc4LWJhOTktZTljYjBlZjMzNWUxXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
11282, Saravana,No Year,No Duration,No Age Rating,"5,1", (769),No Metascore,"Saravana (Silambarasan) and Krishna (Krishna) are close buddies in college. Saravana sees a video tape of Krishna's sister Sadhana (Jyothika) studying in London and falls in love with her. So to meet her, Saravana goes with Krishna to a village near Tirunelveli where he finds that there is a bloody war going on between two warring caste groups. Krishna's brother Soundarapandi (Prakash Raj) his wife and Krishna are killed by the rival group of Dorai Singam. However Saravana saves Sadhana and takes her to Chennai. Initially Sadhana is not accepted by Saravana's large family but slowly when they come to know about her background they support and love her. The rest of the film is how Saravana tries to help Sadhana to go back to London, and in the process eliminates the entire gang of Dorai Singam single-handedly.",https://www.imdb.com//title/tt0495044/?ref_=sr_t_11282,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMTI4ODdmZWUtNjZiNi00YmMwLTg0MWQtNzBjMzE1YzU4ZWY3XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMTI4ODdmZWUtNjZiNi00YmMwLTg0MWQtNzBjMzE1YzU4ZWY3XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTI4ODdmZWUtNjZiNi00YmMwLTg0MWQtNzBjMzE1YzU4ZWY3XkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTI4ODdmZWUtNjZiNi00YmMwLTg0MWQtNzBjMzE1YzU4ZWY3XkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
11283, Desingu Raja,No Year,No Duration,No Age Rating,"5,1", (233),No Metascore,A love story with boy and girl from feuding villages.,https://www.imdb.com//title/tt3215282/?ref_=sr_t_11283,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZDJlZGY5YTYtMzY0OS00MDg3LTkxYjktYzhiNWJhZWVhNmI4XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZDJlZGY5YTYtMzY0OS00MDg3LTkxYjktYzhiNWJhZWVhNmI4XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZDJlZGY5YTYtMzY0OS00MDg3LTkxYjktYzhiNWJhZWVhNmI4XkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZDJlZGY5YTYtMzY0OS00MDg3LTkxYjktYzhiNWJhZWVhNmI4XkEyXkFqcGc@._V1_QL75_UY414_CR7,0,280,414_.jpg 280w"
11284, Yeh Majhdhaar,No Year,No Duration,No Age Rating,"5,1"," (1,4 mil)",No Metascore,"Judge Krishna (Rahul Roy) and Radha (Manisha Koirala) are in love. Due to class conflicts, they are unable to marry, but continue with a very intimate relationship, which results in Radha getting pregnant. Then Gopal (Salman Khan) enters Radha's life, and he falls in love with her. Radha, who is still in love with Krishna, is unable to express her feelings for Gopal. Circumstances become favorable for Gopal and he succeeds in marrying Radha, and subsequently, Radha gives birth to a baby girl, Shanti. Leaving the child with Gopal, Radha then leaves him, never to return. Krishna and Gopal meet and become close friends, little knowing of their mutual love. Why did Radha leave Gopal? What will be the outcome of Gopal and Krishna's friendship when they both come to know of their love for Radha?",https://www.imdb.com//title/tt0115019/?ref_=sr_t_11284,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNDFiMDFmYWEtN2Q5YS00ZWNhLWI3ZjMtYzJkZWQ1MDBkMTdmXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNDFiMDFmYWEtN2Q5YS00ZWNhLWI3ZjMtYzJkZWQ1MDBkMTdmXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNDFiMDFmYWEtN2Q5YS00ZWNhLWI3ZjMtYzJkZWQ1MDBkMTdmXkEyXkFqcGc@._V1_QL75_UY311_CR1,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNDFiMDFmYWEtN2Q5YS00ZWNhLWI3ZjMtYzJkZWQ1MDBkMTdmXkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg 280w"
11285, Albert Pinto Ko Gussa Kyun Aata Hai?,No Year,No Duration,No Age Rating,"5,1"," (1,8 mil)",No Metascore,"Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them, he is on his way to Goa to carry out his first assignment as a hitman.",https://www.imdb.com//title/tt4355838/?ref_=sr_t_11285,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYmMxMWM4NDgtYjljNS00MDQxLTg1ODQtODk1ODQzYTFlYzcyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYmMxMWM4NDgtYjljNS00MDQxLTg1ODQtODk1ODQzYTFlYzcyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYmMxMWM4NDgtYjljNS00MDQxLTg1ODQtODk1ODQzYTFlYzcyXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYmMxMWM4NDgtYjljNS00MDQxLTg1ODQtODk1ODQzYTFlYzcyXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
11286, Zindagi Ek Juaa,No Year,No Duration,No Age Rating,"5,1", (352),No Metascore,"Harikishan saves the life of his employer, Jagjit Singh alias JJ, only to receive a huge wage increase. All excited; Harikishan agrees to change his name to Harry and successfully carry out any task executed to him. He then realize he is indulging himself in illegal activities only to confront his boss for an explanation where-by he is told that his mother is held captive in order to guarantee his full cooperation. Under these circumstances; Harry must now devise ways to rescue his mother and save himself from being arrested by the police.",https://www.imdb.com//title/tt0105897/?ref_=sr_t_11286,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzdlYTJiODUtYWFlYS00NTI3LTkzNjYtODI5YTVjMzcyZTU2XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzdlYTJiODUtYWFlYS00NTI3LTkzNjYtODI5YTVjMzcyZTU2XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzdlYTJiODUtYWFlYS00NTI3LTkzNjYtODI5YTVjMzcyZTU2XkEyXkFqcGc@._V1_QL75_UY311_CR10,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzdlYTJiODUtYWFlYS00NTI3LTkzNjYtODI5YTVjMzcyZTU2XkEyXkFqcGc@._V1_QL75_UY414_CR13,0,280,414_.jpg 280w"
